"data.stra","data.surf","data.deep","points","age","data.gender","attitude"
3.375,2.58333333333333,3.58333333333333,25,53,"F",37
2.75,3.16666666666667,2.91666666666667,12,55,"M",31
3.625,2.25,3.5,24,49,"F",25
3.125,2.25,3.5,10,53,"M",35
3.625,2.83333333333333,3.66666666666667,22,49,"M",37
3.625,2.41666666666667,4.75,21,38,"F",38
2.25,1.91666666666667,3.83333333333333,21,50,"M",35
4,2.83333333333333,3.25,31,37,"F",29
4.25,2.16666666666667,4.33333333333333,24,37,"M",38
3.5,3,4,26,42,"F",21
3.625,2.66666666666667,3.58333333333333,31,37,"M",39
4.75,2.41666666666667,3.83333333333333,31,34,"F",38
3.625,2.25,4.25,23,34,"F",24
3.5,2.75,3.33333333333333,25,34,"F",30
1.75,2.33333333333333,4.16666666666667,21,35,"M",26
3.875,2.33333333333333,3.66666666666667,31,33,"F",41
1.375,2.91666666666667,4.08333333333333,20,32,"F",26
3.25,2.5,3.5,22,44,"F",26
3,3.75,4.08333333333333,9,29,"M",17
3.75,2.75,4,24,30,"F",27
2.625,2.33333333333333,3.91666666666667,28,27,"M",39
2.375,2.41666666666667,4,30,29,"M",34
3.625,3,4,24,31,"F",27
2.75,2.41666666666667,3.66666666666667,9,37,"F",23
1.75,2.83333333333333,3.66666666666667,26,26,"F",37
3.25,3.16666666666667,4.41666666666667,32,26,"F",44
4,3,3.91666666666667,32,30,"M",41
3.625,2,3.75,33,33,"F",37
2.875,3.5,3.25,29,33,"F",25
3,3.75,3.58333333333333,30,28,"M",30
1.625,2.5,4.91666666666667,19,26,"M",34
3.25,2.08333333333333,3.58333333333333,23,27,"F",32
3.5,2.41666666666667,2.91666666666667,19,25,"F",20
3,2.58333333333333,3.66666666666667,12,31,"F",24
3.25,1.58333333333333,4.5,10,20,"M",42
1.875,2.83333333333333,4.08333333333333,11,39,"F",16
4.375,1.83333333333333,3.83333333333333,20,38,"M",31
3.625,2.41666666666667,3.25,26,24,"M",38
2.5,3.25,2.33333333333333,31,26,"M",38
1.25,3.41666666666667,3.33333333333333,20,25,"M",33
4,3.41666666666667,4.08333333333333,23,30,"F",17
3,3.16666666666667,2.91666666666667,12,25,"F",25
2.5,3.5,3.33333333333333,24,30,"M",32
4.875,2.66666666666667,3.83333333333333,17,48,"F",35
5,2.41666666666667,3.66666666666667,29,24,"F",32
4.375,3.58333333333333,4.66666666666667,23,40,"F",42
3.25,2.08333333333333,3.75,28,25,"M",31
4,3.75,3.41666666666667,31,23,"F",39
3.125,2.91666666666667,4.16666666666667,23,25,"F",19
2.5,2.91666666666667,2.91666666666667,25,23,"F",21
3.125,2.41666666666667,4.16666666666667,18,27,"M",25
3.25,3,3.58333333333333,19,25,"M",32
2.125,3.41666666666667,2.83333333333333,22,23,"M",32
2.75,2.91666666666667,4,25,23,"F",26
2.375,3.25,2.91666666666667,21,23,"F",23
3.125,3.25,3,9,45,"F",38
4,2.33333333333333,4.08333333333333,28,22,"F",28
